label;parent;chapter
from non organic element;spontaneous generation;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
foot number;;PLINE-11-annotéIPL
pyrallis;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
river Hypanis;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
from non organic element;spontaneous generation;PLINE-11-annotéIPL
absolute;longevity;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
entomon without metamorphosis;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
