annotation;text;concept;chapter
size;cum rerum natura nusquam magis quam in minimis tota sit.;https://opentheso.huma-num.fr/?idc=105270&idt=th310;PLINE-11-annotéIPL
entomon;Insecta;https://opentheso.huma-num.fr/?idc=107515&idt=th310;PLINE-11-annotéIPL
respiratory system;quoniam viscera interiora nexus spirabilis non inesse<n>t;https://opentheso.huma-num.fr/?idc=105202&idt=th310;PLINE-11-annotéIPL
respiration;multi negarunt spirare, idque ratione persuadentes, quoniam viscera interiora nexus spirabilis non inesse<n>t. itaque vivere ut fruges arboresque, sed plurimum interesse, spiret aliquid an vivat;https://opentheso.huma-num.fr/?idc=105245&idt=th310;PLINE-11-annotéIPL
blood;eadem de causa nec sanguinem <i>is esse, qui sit nullis carentibus corde atque iecore;https://opentheso.huma-num.fr/?idc=105186&idt=th310;PLINE-11-annotéIPL
not blooded;eadem de causa nec sanguinem <i>is esse, qui sit nullis carentibus corde atque iecore;https://opentheso.huma-num.fr/?idc=105780&idt=th310;PLINE-11-annotéIPL
heart;carentibus corde atque iecore;https://opentheso.huma-num.fr/?idc=105976&idt=th310;PLINE-11-annotéIPL
liver;carentibus corde atque iecore;https://opentheso.huma-num.fr/?idc=105224&idt=th310;PLINE-11-annotéIPL
respiratory system;nec spirare ea quibus pulmo desit;https://opentheso.huma-num.fr/?idc=105202&idt=th310;PLINE-11-annotéIPL
lung;nec spirare ea quibus pulmo desit;https://opentheso.huma-num.fr/?idc=105206&idt=th310;PLINE-11-annotéIPL
bee;murmure apium;https://opentheso.huma-num.fr/?idc=pcrtnpPag9iONJ&idt=th310;PLINE-11-annotéIPL
cicada;cicadarum sono;https://opentheso.huma-num.fr/?idc=107517&idt=th310;PLINE-11-annotéIPL
voice;vocem esse <i>is negant in tanto murmure apium, cicadarum sono, et alia quae suis aestimabuntur locis;https://opentheso.huma-num.fr/?idc=105391&idt=th310;PLINE-11-annotéIPL
sound;vocem esse <i>is negant in tanto murmure apium, cicadarum sono, et alia quae suis aestimabuntur locis;https://opentheso.huma-num.fr/?idc=105250&idt=th310;PLINE-11-annotéIPL
respiratory system;spirare sine visceribus, quod etiam in marinis docuimus quamvis arcente spiritum densitate et altitudine umoris;https://opentheso.huma-num.fr/?idc=105202&idt=th310;PLINE-11-annotéIPL
marine;in marinis docuimus quamvis arcente spiritum densitate et altitudine umoris;https://opentheso.huma-num.fr/?idc=106935&idt=th310;PLINE-11-annotéIPL
respiration;sic nec spirare ea quibus pulmo desit. unde numerosa  [[6]]  quaestionum series exoritur. <i>idem enim et vocem esse <i>is negant in tanto murmure apium, cicadarum sono, et alia quae suis aestimabuntur locis. nam mihi contuenti semper suasit rerum natura nihil incredibile existimare de ea. nec video cur magis possint non trahere animam talia et vivere quam spirare sine visceribus, quod etiam in marinis docuimus quamvis arcente spiritum densitate et altitudine umoris.  [[7]]  volare quidem aliqua et animatu carere in ipso spiritu viventia;https://opentheso.huma-num.fr/?idc=105245&idt=th310;PLINE-11-annotéIPL
